VideoID,Valence,Veracity,Sex,Race,VidLength_ms,VidLength_sec,WordCount,Accuracy,TruthProp,Attractive,Trustworthy,Anxious,Transcription
BF001_1PT,1,1,0,0,38783,38.78,110,0.77,0.77,4.55,4.32,3.18,"My best friend is a really nice person. Um. She’s always kind to everyone. She continues to just be herself around everyone. Um. She has taught me so much throughout, like I’ve known her maybe a year and a half and she’s taught me so much throughout that time. Um. I just love her so much because she’s influenced my life in so many ways. And made me a better person because she’s such a nice pershon, person. And I wish uh more people in the world were like her just because um people need to realize that being negative all the time isn’t helping at all. So, she’s awesome."
BF001_2NL,0,0,0,0,37120,37.12,88,0.4,0.6,3.55,3.75,3.05,"She’s actually really two faced and not fun to be around. Um she’s really negative. Um. I don’t like the person that she’s become. Um. she’s just really not herself usually and uh, I’m not used to that so um, it’s really unfortunate. And she just doesn’t appreciate anything. She doesn’t, she really just brings out the worst in me. Um. It’s really, it’s hard because she not, wasn’t like that before, um bu but yeah, she’s just not the person she used to be. It’s, it’s sad."
BF001_3NT,0,1,0,0,38484,38.48,120,0.77,0.77,3.27,3.95,2.82,"So this specific person is actually just a really mean and negative person. Um. I’m not sure why she thinks she needs to be that way but, um, before I actually knew who she was I thought she was very pretty and then I realized actually how fake she is, um, she just-and I know it shouldn’t bother me but she like wears so much makeup. She does fake hair, fake everything. It’s like just be yourself and also she’s just like fake to people in general and um, she actually treated my sister really poorly and it bothered me so I witnessed it. Um. Probably should have confronted it. But, I just don’t like who she is at all."
BF001_4PL,1,0,0,0,38026,38.03,124,0.58,0.42,4.05,4.05,3.11,"This person is actually a really kind person. She has so many friends. She’s very popular. Everyone, um, watches her and looks up to her. She’s really pretty actually. Um, yeah. She just has a lot going for her. I think now she’s in beauty school so that’s, that’s good for her. Um, I’m just- you know she’s just someone that everyone real-pretty much looks up to. Um. Everyone likes the fact that she knows everyone. She knows a lot about people so like if you wanted to ask someone, reference, she could help you out. She’s just a good person. Um. She works. She pays for her own things. You know, she’s just a good person in general, so, she’s a nice girl."
BF002_1PT,1,1,0,0,36351,36.35,91,0.59,0.59,4.86,4.36,3.32,"My roommate is a really good person. She’s very sweet. She’s honest with me and I can appreciate that, um, she makes me laugh a lot. Very funny. Always has a joke always very sassy and. Um has good comedic timing. Um she’s also very (sigh), she’s very sweet like I said. Um, she is important part in my life. Uh. She’s the first person I met when I got here and we’ve been best friends ever since. She’s really a great person. I enjoy hanging out with her a lot."
BF002_2NL,0,0,0,0,36650,36.65,73,0.33,0.67,5.05,4.62,2.33,"My roommate is super disorganized. She is super messy. She hardly ever helps clean up the house, never puts away dishes. I’m pretty sure she has been stealing from me for the past year. Um. I really don’t like her sense of humor. She’s kind of rude. She can be, um, very stingy with household things. We usually share and she doesn’t like to share things which doesn’t go with the group dynamic."
BF002_3NT,0,1,0,0,29141,29.14,95,0.6,0.6,4.4,4.5,3.15,"This person is very rude, she makes snide comments a lot. I’m pretty sure she thinks she’s a celebrity. Um, she’s assuming that everyone’s talking about her all the time and everyone’s concerned with what she’s doing, which is not true. Um, she can be very passive aggressive. She is not very funny. I think she thinks she’s funny but she’s not. Um, she is also very dicey person. If she tells you she’s going to do something she may or may not do it. Um, she’s just all around not a very nice person."
BF002_4PL,1,0,0,0,36480,36.48,104,0.64,0.36,4.27,3.73,2.91,"She’s very sweet. She’s honest. She’s caring. Um. Everyone loves her. Um. Everyone that meets her loves her a lot. She’s a really great person. As soon as you meet her, you kind of know like I’m going to be best friends with her. She is very giving. Um. Anything you need help with she’s there for you. If she says she’s going to do something she’s more than likely gonna to do it. Um. She is very honest. She is a pleasure to be around. She’s just a really good person. I’m glad I’ve gotten to meet her and become friends with her."
BF003_1PT,1,1,0,0,36960,36.96,91,0.64,0.64,3.09,4.27,2.64,"We met at school and she was the sweetest person I’ve met in the whole entire world. We instantly clicked. Um. We always hang out with each other whether it was at her house or my house, just walking around the neighborhood or playing games online or Facebook, anything. We just always together, always having fun. Um. She’s super nice. She’s really pretty. She’s super sweet. She’s like the best person in the world. If you met her you’d probably try to steal her from me as best friend. She’s amazing."
BF003_2NL,0,0,0,0,29610,29.61,114,0.27,0.73,3,4.55,2.73,"We met in school and it was my first day there. I was new. And as soon as we met each other, it was like instant, we hated each other. It was horrible. Like we couldn’t sit next to each other in classes; we couldn’t work together on projects even in big groups. All teachers knew that because no matter what we were arguing because we just had so many different ideas that never worked. We were total opposites. Like, I don’t know why she hated as much as she did from the beginning but she did. And the feeling was mutual. Like, she’s just horrible person and I hate her guts still today."
BF003_3NT,0,1,0,0,35338,35.34,85,0.71,0.71,3.24,4.76,2.24,"She is so rude to everybody: students, teachers, friends, siblings, parents. It doesn’t matter who it is. She is mean to them. Because that’s just how she is. She disregards anything everyone tells her even if they’re trying to help her. She doesn’t care. She just wants to do everything her way because her way is the right way. Um. She always tries to take advantage of people. She uses people all the time for her own game and I don’t like that at all."
BF003_4PL,1,0,0,0,28896,28.9,128,0.47,0.53,3,4.21,2.74,"She is an angel. Ha. I know, I can’t, it’s weird but I can’t think of any other word to describe her. That’s just how nice and sweet she is to everybody. She’s always trying to help people no matter what it is about. No matter like if they’re mean to her, anything. She’s just the kind of person she is. She was the smartest person in the class so teachers were always have her like help other students if she was done early. She would have them, her help other students and like help them figure out like what they’re stuck on. Um. She’s in school now, training to be a nurse, because she always said she just wanted to help people no matter what it was."
BF004_1PT,1,1,0,0,37588,37.59,72,0.58,0.58,4.58,4.26,3.11,"I met the person I really like in Bible study. I’ve had a hard time meeting friends my freshmen year and we decided to, um, join a Bible study together. She lives upstairs from me in my freshmen year dorm, in my, uh, dormitory. Um, we, since then we’ve always been attending, um, Campus Crusaders together. We, we were in the same, um cell biology class and we studied a lot together."
